trial x_pos y_pos object
Shira_Standing_clip0 346 230 2R
Shira_Standing_clip1 395 276.5 4R
Shira_Standing_clip10 390 213.5 1G
Shira_Standing_clip11 331.5 215 1R
Shira_Standing_clip12 295 276.5 4B
Shira_Standing_clip13 269.5 213.5 1B
Shira_Standing_clip14 217 253.5 3W
Shira_Standing_clip15 413.5 231 2G
Shira_Standing_clip2 367 251 3R
Shira_Standing_clip3 277.5 231.5 2B
Shira_Standing_clip4 215 232 2W
Shira_Standing_clip5 483.5 278 4G
Shira_Standing_clip6 287.5 254 3B
Shira_Standing_clip7 216 274 4W
Shira_Standing_clip8 211.5 214 1W
Shira_Standing_clip9 447 251.5 3G
Tao_Standing_clip0 211.5 214 1W
Tao_Standing_clip1 277.5 231.5 2B
Tao_Standing_clip10 269.5 213.5 1B
Tao_Standing_clip11 287.5 254 3B
Tao_Standing_clip12 331.5 215 1R
Tao_Standing_clip13 215 232 2W
Tao_Standing_clip14 216 274 4W
Tao_Standing_clip15 483.5 278 4G
Tao_Standing_clip2 413.5 231 2G
Tao_Standing_clip3 295 276.5 4B
Tao_Standing_clip4 395 276.5 4R
Tao_Standing_clip5 367 251 3R
Tao_Standing_clip6 390 213.5 1G
Tao_Standing_clip7 447 251.5 3G
Tao_Standing_clip8 217 253.5 3W
Tao_Standing_clip9 346 230 2R
