trial x_pos y_pos object
Shira_Sitting_clip0 447 251.5 3G
Shira_Sitting_clip1 211.5 214 1W
Shira_Sitting_clip2 287.5 254 3B
Shira_Sitting_clip3 216 274 4W
Shira_Sitting_clip4 395 276.5 4R
Shira_Sitting_clip5 277.5 231.5 2B
Shira_Sitting_clip6 346 230 2R
Shira_Sitting_clip7 217 253.5 3W
Shira_Sitting_clip8 295 276.5 4B
Shira_Sitting_clip9 413.5 231 2G
Shira_Sitting_clip10 269.5 213.5 1B
Shira_Sitting_clip11 390 213.5 1G
Shira_Sitting_clip12 367 251 3R
Shira_Sitting_clip13 483.5 278 4G
Shira_Sitting_clip14 215 232 2W
Shira_Sitting_clip15 331.5 215 1R
Tao_Sitting_clip0 413.5 231 2G
Tao_Sitting_clip1 483.5 278 4G
Tao_Sitting_clip2 331.5 215 1R
Tao_Sitting_clip3 367 251 3R
Tao_Sitting_clip4 390 213.5 1G
Tao_Sitting_clip5 216 274 4W
Tao_Sitting_clip6 447 251.5 3G
Tao_Sitting_clip7 215 232 2W
Tao_Sitting_clip8 211.5 214 1W
Tao_Sitting_clip9 287.5 254 3B
Tao_Sitting_clip10 346 230 2R
Tao_Sitting_clip11 395 276.5 4R
Tao_Sitting_clip12 217 253.5 3W
Tao_Sitting_clip13 295 276.5 4B
Tao_Sitting_clip14 269.5 213.5 1B
Tao_Sitting_clip15 277.5 231.5 2B
